Date,Open,High,Low,Volume,Close,Adj Close
6/29/10,19,25,17.540001,18766300,23.889999,23.889999
6/30/10,25.790001,30.42,23.299999,17187100,23.83,23.83
7/1/10,25,25.92,20.27,8218800,21.959999,21.959999
7/2/10,23,23.1,18.709999,5139800,19.200001,19.200001
7/6/10,20,20,15.83,6866900,16.110001,16.110001
7/7/10,16.4,16.629999,14.98,6921700,15.8,15.8
7/8/10,16.139999,17.52,15.57,7711400,17.459999,17.459999
7/9/10,17.58,17.9,16.549999,4050600,17.4,17.4
7/12/10,17.950001,18.07,17,2202500,17.049999,17.049999
7/13/10,17.389999,18.639999,16.9,2680100,18.139999,18.139999
7/14/10,17.940001,20.15,17.76,4195200,19.84,19.84
7/15/10,19.940001,21.5,19,3739800,19.889999,19.889999
7/16/10,20.700001,21.299999,20.049999,2621300,20.639999,20.639999
7/19/10,21.370001,22.25,20.92,2486500,21.91,21.91
7/20/10,21.85,21.85,20.049999,1825300,20.299999,20.299999
7/21/10,20.66,20.9,19.5,1252500,20.219999,20.219999
7/22/10,20.5,21.25,20.370001,957800,21,21
7/23/10,21.190001,21.559999,21.059999,653600,21.290001,21.290001
7/26/10,21.5,21.5,20.299999,922200,20.950001,20.950001
7/27/10,20.91,21.18,20.26,619700,20.549999,20.549999
7/28/10,20.549999,20.9,20.51,467200,20.719999,20.719999
7/29/10,20.77,20.879999,20,616000,20.35,20.35
7/30/10,20.200001,20.440001,19.549999,426900,19.940001,19.940001
8/2/10,20.5,20.969999,20.33,718100,20.92,20.92
8/3/10,21,21.950001,20.82,1230500,21.950001,21.950001
8/4/10,21.950001,22.18,20.85,913000,21.26,21.26
8/5/10,21.540001,21.549999,20.049999,796200,20.450001,20.450001
8/6/10,20.1,20.16,19.52,741900,19.59,19.59
8/9/10,19.9,19.98,19.450001,812700,19.6,19.6
8/10/10,19.65,19.65,18.82,1281300,19.030001,19.030001
8/11/10,18.690001,18.879999,17.85,797600,17.9,17.9
8/12/10,17.799999,17.9,17.389999,691000,17.6,17.6
8/13/10,18.18,18.450001,17.66,634000,18.32,18.32
8/16/10,18.450001,18.799999,18.26,485800,18.780001,18.780001
8/17/10,18.959999,19.4,18.780001,447900,19.15,19.15
8/18/10,19.59,19.59,18.6,601300,18.77,18.77
8/19/10,18.540001,19.25,18.33,579100,18.790001,18.790001
8/20/10,18.65,19.110001,18.51,296000,19.1,19.1
8/23/10,19.09,20.389999,19,1088100,20.129999,20.129999
8/24/10,19.25,19.709999,18.950001,673100,19.200001,19.200001
8/25/10,19.16,19.98,18.559999,503300,19.9,19.9
8/26/10,19.889999,20.27,19.6,433800,19.75,19.75
8/27/10,19.75,19.870001,19.5,379600,19.700001,19.700001
8/30/10,19.700001,20.190001,19.610001,732800,19.870001,19.870001
8/31/10,19.66,19.790001,19.33,201100,19.48,19.48
9/1/10,19.620001,20.690001,19.6,494900,20.450001,20.450001
9/2/10,20.370001,21.24,20.309999,487100,21.059999,21.059999
9/3/10,20.870001,21.299999,20.66,434600,21.049999,21.049999
9/7/10,20.610001,21,20.5,243400,20.540001,20.540001
9/8/10,20.66,20.950001,20.6,288400,20.9,20.9
9/9/10,21,21.049999,20.690001,376200,20.709999,20.709999
9/10/10,20.75,20.93,19.76,386600,20.17,20.17
9/13/10,20.889999,20.9,20.5,360800,20.719999,20.719999
9/14/10,20.540001,21.6,20.530001,654700,21.120001,21.120001
9/15/10,20.98,22,20.790001,684600,21.98,21.98
9/16/10,22.15,23.16,20.84,2684500,20.940001,20.940001
9/17/10,21.02,21.32,19.799999,1198500,20.23,20.23
9/20/10,20.67,21.35,20.16,947500,21.059999,21.059999
9/21/10,20.889999,21.549999,20.67,796000,20.77,20.77
9/22/10,20.870001,20.950001,19.799999,962900,19.870001,19.870001
9/23/10,19.889999,20.139999,19.5,668100,19.559999,19.559999
9/24/10,19.950001,20.190001,19.65,578900,20.1,20.1
9/27/10,20.4,20.809999,20.049999,418600,20.530001,20.530001
9/28/10,21.040001,21.49,20.76,1214500,21.4,21.4
9/29/10,21.190001,22.030001,21.129999,1969300,21.98,21.98
9/30/10,22,22.15,20.190001,2195800,20.41,20.41
10/1/10,20.690001,20.75,20.309999,597700,20.6,20.6
10/4/10,20.43,21.17,20.299999,643600,20.99,20.99
10/5/10,21.15,21.280001,21.01,332000,21.120001,21.120001
10/6/10,21.059999,21.26,20.32,313400,20.459999,20.459999
10/7/10,20.57,20.639999,20.34,141000,20.43,20.43
10/8/10,20.43,20.790001,20.389999,267800,20.43,20.43
10/11/10,20.440001,20.700001,20.07,171200,20.24,20.24
10/12/10,20.200001,20.280001,20.030001,244000,20.24,20.24
10/13/10,20.639999,20.85,20.360001,318200,20.540001,20.540001
10/14/10,21,21.030001,20.4,294800,20.75,20.75
10/15/10,20.889999,20.9,20.25,284700,20.540001,20.540001
10/18/10,20.52,20.639999,20.219999,162800,20.23,20.23
10/19/10,20.200001,20.41,20,245200,20.049999,20.049999
10/20/10,20.16,20.690001,20.040001,312500,20.65,20.65
10/21/10,20.610001,20.950001,20.450001,417100,20.75,20.75
10/22/10,20.68,20.93,20.549999,161100,20.719999,20.719999
10/25/10,20.940001,20.98,20.73,118500,20.85,20.85
10/26/10,20.799999,21.870001,20.51,660900,21.360001,21.360001
10/27/10,21.25,21.379999,20.65,356500,21,21
10/28/10,21.389999,21.5,20.959999,224200,21.190001,21.190001
10/29/10,21.139999,21.85,21.049999,280600,21.84,21.84
11/1/10,21.940001,22.75,21.309999,455800,21.41,21.41
11/2/10,21.68,21.879999,21.049999,322500,21.25,21.25
11/3/10,21.280001,22.5,21.16,372600,21.77,21.77
11/4/10,22.6,25.33,22.15,1874000,24.9,24.9
11/5/10,24.870001,24.969999,23.719999,1011000,24.440001,24.440001
11/8/10,24.5,25,24.030001,509500,24.98,24.98
11/9/10,25,25.690001,24.049999,956400,24.629999,24.629999
11/10/10,24.48,29.969999,24.049999,3060500,29.360001,29.360001
11/11/10,28.6,29.1,27.33,1945300,28.040001,28.040001
11/12/10,28.25,30.5,28.07,2729100,29.84,29.84
11/15/10,30.219999,32.939999,30.219999,2622900,30.799999,30.799999
11/16/10,31,31.4,28.42,1347600,29.67,29.67
11/17/10,30.200001,30.75,28.610001,750000,29.49,29.49
11/18/10,30.67,30.74,28.92,956100,29.889999,29.889999
11/19/10,30.16,31.370001,29.700001,1150500,30.99,30.99
11/22/10,31.57,33.450001,31.5,1529700,33.400002,33.400002
11/23/10,33.290001,35.68,32.189999,1577800,34.57,34.57
11/24/10,35.27,35.970001,34.330002,1425000,35.470001,35.470001
11/26/10,35.599998,36,34.75,350600,35.32,35.32
11/29/10,35.41,35.950001,33.330002,1145600,34.330002,34.330002
11/30/10,33.740002,35.330002,33.41,2222600,35.330002,35.330002
12/1/10,35.869999,36.419998,33.450001,1299200,34.349998,34.349998
12/2/10,34.009998,34.299999,31.200001,2007000,32.349998,32.349998
12/3/10,32.009998,32.25,30.870001,1160100,31.49,31.49
12/6/10,31.35,31.450001,29.559999,1274400,30.309999,30.309999
12/7/10,30.49,32.400002,30.049999,1311300,31.559999,31.559999
12/8/10,32.48,32.490002,31.52,660000,32.369999,32.369999
12/9/10,32.509998,32.720001,31.65,406000,32.049999,32.049999
12/10/10,32.049999,32.919998,31.129999,429400,31.52,31.52
12/13/10,31.639999,31.77,30.4,410400,30.549999,30.549999
12/14/10,30.290001,30.389999,27.76,1765700,28.530001,28.530001
12/15/10,28.67,29.969999,28.530001,742900,29.6,29.6
12/16/10,30,30.91,29.65,790100,30.809999,30.809999
12/17/10,31.34,31.540001,30.709999,813000,31.360001,31.360001
12/20/10,31.639999,32.189999,31.26,523400,31.700001,31.700001
12/21/10,31.799999,32.689999,31.709999,777700,32.259998,32.259998
12/22/10,32.25,32.860001,31.700001,833300,32.630001,32.630001
12/23/10,31.26,32.48,29.92,1552600,30.09,30.09
12/27/10,28.02,28.58,25.059999,9301900,25.549999,25.549999
12/28/10,25.85,26.75,25,4056300,26.41,26.41
12/29/10,27.030001,28.01,26.5,3319200,27.73,27.73
12/30/10,27.700001,27.9,26.379999,2041100,26.5,26.5
12/31/10,26.57,27.25,26.5,1417900,26.629999,26.629999
1/3/11,26.84,27,25.9,1283000,26.620001,26.620001
1/4/11,26.66,26.950001,26.02,1187400,26.67,26.67
1/5/11,26.48,26.9,26.190001,1446700,26.83,26.83
1/6/11,26.83,28,26.809999,2061200,27.879999,27.879999
1/7/11,28,28.58,27.9,2247900,28.24,28.24
1/10/11,28.17,28.68,28.049999,1342700,28.450001,28.450001
1/11/11,28.59,28.709999,26.92,1710200,26.959999,26.959999
1/12/11,27.01,27.4,26.52,964400,26.959999,26.959999
1/13/11,26.959999,26.969999,26.16,723600,26.219999,26.219999
1/14/11,26.15,26.58,25.610001,1192000,25.75,25.75
1/18/11,25.48,25.639999,24.75,1621700,25.639999,25.639999
1/19/11,25.27,25.469999,23.75,2371500,24.030001,24.030001
1/20/11,24.030001,24.450001,22.370001,2279900,22.620001,22.620001
1/21/11,23.120001,23.59,22.709999,1217000,23.040001,23.040001
1/24/11,23.530001,24.809999,23.23,1645100,24.49,24.49
1/25/11,24.65,24.889999,24.02,1271500,24.68,24.68
1/26/11,24.709999,24.879999,24.1,1079900,24.75,24.75
1/27/11,24.74,25.08,24.530001,895700,24.92,24.92
1/28/11,24.879999,24.879999,23.75,1048400,24.01,24.01
1/31/11,24.049999,24.120001,23.5,830300,24.1,24.1
2/1/11,24.309999,24.73,23.540001,707800,23.91,23.91
2/2/11,24.16,24.18,23.67,569500,23.940001,23.940001
2/3/11,23.82,23.9,23.15,512000,23.629999,23.629999
2/4/11,23.440001,23.67,23.219999,544000,23.459999,23.459999
2/7/11,23.26,23.26,22.879999,895100,23.07,23.07
2/8/11,23.780001,25.25,23,3504900,24.49,24.49
2/9/11,24.129999,24.18,22.790001,2635600,23.209999,23.209999
2/10/11,23.26,23.639999,22.809999,836100,23.219999,23.219999
2/11/11,23.25,23.75,22.940001,634500,23.25,23.25
2/14/11,23.639999,24.139999,23.049999,1283100,23.08,23.08
2/15/11,23.01,23.17,22.559999,953700,22.84,22.84
2/16/11,23.1,24.969999,23.07,4115100,24.73,24.73
2/17/11,24.629999,25.49,23.549999,2618400,23.6,23.6
2/18/11,23.33,23.49,22.959999,2370700,23.18,23.18
2/22/11,22.879999,23,21.780001,2064600,21.870001,21.870001
2/23/11,22.18,22.5,21.110001,1605600,21.83,21.83
2/24/11,21.780001,22.58,21.5,1055300,22.530001,22.530001
2/25/11,22.809999,23.85,22.690001,1346300,23.610001,23.610001
2/28/11,23.74,24.1,23.5,1051200,23.889999,23.889999
3/1/11,24.049999,24.32,23.700001,1106400,23.940001,23.940001
3/2/11,23.82,24.280001,23.73,663300,24.02,24.02
3/3/11,24.48,24.790001,24.059999,640200,24.360001,24.360001
3/4/11,24.48,24.99,23.780001,1580100,24.950001,24.950001
3/7/11,24.93,25.4,24.700001,2033600,24.940001,24.940001
3/8/11,24.6,24.959999,24,1399900,24.66,24.66
3/9/11,24.66,24.99,24.27,924800,24.719999,24.719999
3/10/11,24.440001,24.49,23.73,1017000,24.01,24.01
3/11/11,23.85,24.25,23.530001,930800,24.07,24.07
3/14/11,23.82,24,23.200001,1166000,23.25,23.25
3/15/11,22.200001,22.959999,21.799999,1318800,22.950001,22.950001
3/16/11,22.860001,23.25,22.690001,1169700,22.82,22.82
3/17/11,23.24,23.43,22.639999,922600,22.809999,22.809999
3/18/11,23.190001,23.190001,22.51,687900,22.959999,22.959999
3/21/11,23.049999,23.049999,22.540001,411700,22.73,22.73
3/22/11,22.73,22.860001,22,582900,22.190001,22.190001
3/23/11,22.110001,22.27,21.77,422800,22.209999,22.209999
3/24/11,22.139999,22.379999,21.98,462200,22.33,22.33
3/25/11,22.43,23,22.4,568000,22.75,22.75
3/28/11,22.700001,23.540001,22.549999,1058100,23.25,23.25
3/29/11,23.299999,24,23.209999,755400,23.92,23.92
3/30/11,24.110001,24.49,23.01,1223300,23.709999,23.709999
3/31/11,26.549999,28.709999,26.5,11517800,27.75,27.75
4/1/11,27.450001,28.18,26.57,2864800,26.66,26.66
4/4/11,26.83,27,25.23,2609300,25.83,25.83
4/5/11,25.9,27,25.690001,3180900,26.700001,26.700001
4/6/11,26.99,27.01,25.799999,1288300,26.49,26.49
4/7/11,26.85,27.940001,26.450001,2810300,27.24,27.24
4/8/11,27.58,27.6,26.360001,1946400,26.49,26.49
4/11/11,26.469999,26.530001,25.02,1369400,25.27,25.27
4/12/11,25.08,25.209999,24.299999,1357400,24.65,24.65
4/13/11,25.129999,25.690001,24.809999,1211500,24.93,24.93
4/14/11,24.870001,25.280001,24.200001,983400,25.139999,25.139999
4/15/11,25.65,26.18,25.41,943500,25.58,25.58
4/18/11,25.129999,25.620001,24.360001,1033900,25.030001,25.030001
4/19/11,25.26,25.26,24.65,548700,25.16,25.16
4/20/11,25.700001,26.09,25.299999,837200,25.75,25.75
4/21/11,25.85,26.98,25.59,1386100,26.74,26.74
4/25/11,26.700001,26.73,25.969999,800900,26.389999,26.389999
4/26/11,26.66,27.25,26.309999,1400000,26.93,26.93
4/27/11,26.93,27.360001,26.629999,996900,27.08,27.08
4/28/11,27.07,27.690001,26.719999,1600000,27.66,27.66
4/29/11,27.690001,27.870001,27.42,726000,27.6,27.6
5/2/11,27.6,27.799999,27.059999,784600,27.450001,27.450001
5/3/11,27.379999,27.389999,26.5,913900,26.870001,26.870001
5/4/11,26.780001,27,25.75,1044500,26.690001,26.690001
5/5/11,27.200001,27.440001,26.17,1218500,26.440001,26.440001
5/6/11,26.9,27.700001,26.620001,981700,27.120001,27.120001
5/9/11,27,28,26.85,916400,27.91,27.91
5/10/11,28.24,28.950001,27.91,1535300,28.33,28.33
5/11/11,28.200001,28.299999,26.92,962500,27.07,27.07
5/12/11,27.07,27.74,26.65,628000,27.67,27.67
5/13/11,28,28.190001,27.299999,661500,27.549999,27.549999
5/16/11,27.99,27.99,26.549999,755700,26.6,26.6
