Date, Open, High, Low, Volume, Close
1/6/20,440.47,451.56,440.00,10157500,451.54
1/7/20,461.40,471.63,453.36,18209140,469.06
1/8/20,473.70,498.49,468.23,31199390,492.14
1/9/20,497.10,498.80,472.87,28463190,481.34
1/10/20,481.79,484.94,473.70,12976830,478.15
1/13/20,493.50,525.63,492.00,26634550,524.86
1/14/20,544.26,547.41,524.90,29061380,537.92
1/15/20,529.76,537.84,516.79,17368830,518.50
1/16/20,493.75,514.46,492.17,21736650,513.49
1/17/20,507.61,515.67,503.16,13629070,510.50
1/21/20,530.25,548.58,528.41,17803470,547.20
1/22/20,571.89,594.50,559.10,31369030,569.56
1/23/20,564.25,582.00,555.60,19651040,572.20
1/24/20,570.63,573.86,554.26,14353600,564.82
1/27/20,541.99,564.44,539.28,13608070,558.02
1/28/20,568.49,576.81,558.08,11788490,566.90
1/29/20,575.69,589.80,567.43,18216670,580.99
1/30/20,632.42,650.88,618.00,29005680,640.81
1/31/20,640.00,653.00,632.52,15719270,650.57
2/3/20,673.69,786.14,673.52,47233500,780.00
2/4/20,882.96,968.99,833.88,60938760,887.06
2/5/20,823.26,845.98,704.11,48423840,734.70
2/6/20,699.92,795.83,687.00,39880750,748.96
2/7/20,730.55,769.75,730.00,17063520,748.07
2/10/20,800.00,819.99,752.40,24689160,771.28
2/11/20,768.79,783.51,758.00,11697470,774.38
2/12/20,777.87,789.75,763.37,12022470,767.29
2/13/20,741.84,818.00,735.00,26289350,804.00
2/14/20,787.22,812.97,785.50,15693710,800.03
2/18/20,841.60,860.00,832.36,16698370,858.40
2/19/20,923.50,944.78,901.02,25422960,917.42
2/20/20,911.95,912.00,859.94,17634890,899.41
2/21/20,906.98,913.06,880.45,14339450,901.00
2/24/20,839.00,863.50,822.20,15192160,833.79
2/25/20,849.00,856.60,787.00,17290480,799.91
2/26/20,782.50,813.31,776.11,14153840,778.80
2/27/20,730.00,739.77,669.00,24277160,679.00
2/28/20,629.70,690.52,611.52,24564170,667.99
3/2/20,711.26,743.69,686.67,20194990,743.62
3/3/20,805.00,806.98,716.11,25784000,745.51
3/4/20,763.96,766.52,724.73,15048980,749.50
3/5/20,723.77,745.75,718.07,10852660,724.54
3/6/20,690.00,707.00,684.27,12662920,703.48
3/9/20,605.39,663.00,605.00,17073740,608.00
3/10/20,659.43,668.00,608.00,15594440,645.33
3/11/20,640.20,653.58,613.00,13413590,634.23
3/12/20,580.89,594.50,546.25,18909050,560.55
3/13/20,595.00,607.57,502.00,22640250,546.62
3/16/20,469.50,494.87,442.17,20489460,445.07
3/17/20,440.01,471.85,396.00,23994580,430.20
3/18/20,389.00,404.86,350.51,23786160,361.22
3/19/20,374.70,452.00,358.46,30195460,427.64
3/20/20,438.20,477.00,425.79,28285500,427.53
3/23/20,433.60,442.00,410.50,16454550,434.29
3/24/20,477.30,513.69,474.00,22895170,505.00
3/25/20,545.25,557.00,511.11,21222750,539.25
3/26/20,547.39,560.00,512.25,17422080,528.16
3/27/20,505.00,525.80,494.03,14377410,514.36
3/30/20,510.26,516.65,491.23,11998070,502.13
3/31/20,501.25,542.96,497.00,17771490,524.00
4/1/20,504.00,513.95,475.10,13353180,481.56
4/2/20,481.03,494.26,446.40,19858430,454.47
4/3/20,509.50,515.49,468.39,22562080,480.01
4/6/20,511.20,521.00,497.96,14901840,516.24
4/7/20,545.00,565.00,532.34,17919780,545.45
4/8/20,554.20,557.21,533.33,12656020,548.84
4/9/20,562.09,575.18,557.11,13650000,573.00
4/13/20,590.16,652.00,580.53,22475420,650.95
4/14/20,698.97,741.88,692.43,30576510,709.89
4/15/20,742.00,753.13,710.00,23577000,729.83
4/16/20,716.94,759.45,706.72,20657860,745.21
4/17/20,772.28,774.95,747.66,13128230,753.89
4/20/20,732.70,765.57,712.21,14746370,746.36
4/21/20,730.12,753.33,673.79,20209090,686.72
4/22/20,703.98,734.00,688.71,14224830,732.11
4/23/20,727.60,734.00,703.13,13236700,705.63
4/24/20,710.81,730.73,698.18,13237610,725.15
4/27/20,737.61,799.49,735.00,20681440,798.75
4/28/20,795.64,805.00,756.69,15221960,769.12
4/29/20,790.17,803.20,783.16,16215980,800.51
4/30/20,855.19,869.82,763.50,28471850,781.88
5/1/20,755.00,772.77,683.04,32531810,701.32
5/4/20,701.00,762.00,698.00,19237090,761.19
5/5/20,789.79,798.92,762.18,16991660,768.21
5/6/20,776.50,789.80,761.11,11123230,782.58
5/7/20,777.21,796.40,772.35,11527690,780.04
5/8/20,793.77,824.00,787.01,16130090,819.42
5/11/20,790.51,824.00,785.00,16519600,811.29
5/12/20,827.00,843.29,808.00,15906910,809.41
5/13/20,820.83,826.00,763.30,19065490,790.96
5/14/20,780.00,803.36,764.00,13682190,803.33
5/15/20,790.35,805.05,786.55,10518430,799.17
5/18/20,827.78,834.72,803.88,11698100,813.63
5/19/20,815.17,822.07,806.08,9636522,808.01
5/20/20,820.50,826.00,811.80,7309271,815.56
5/21/20,816.00,832.50,796.00,12254580,827.60
5/22/20,822.17,831.78,812.00,9987475,816.88
5/26/20,834.50,834.60,815.71,8089736,818.87
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
